"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaa343"	"size"	"size_all"	5	250	"K_en; P_en; F_en"	NA
"aaa344"	"lnCV"	"lnCV_all"	1	17	"K_yr; P_yr; F_yr"	NA
"aaa345"	"lnCV"	"lnCV_all"	1	17	"K_yr; P_yr; F_yr"	NA
"aaa346"	"lnsize"	"lnsize_all"	-0.6931472	3.465736	"K; P; F; goSB; goCont"	NA
"aaa347"	"lnsize"	"lnsize_all"	-0.6931472	3.465736	"K; P; F; goSB; goCont"	NA
"aaa348"	"lnsize"	"lnsize_all"	-0.6931472	3.465736	"K; P; F; goSB; goCont"	NA
"aaa349"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa350"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa351"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa352"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa353"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa354"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa355"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa356"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa357"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa358"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa359"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa360"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa361"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
"aaa362"	"lnsize"	"lnsize_all"	-0.621	11.605	"K; P; F"	NA
